fieldName,displayName,dataType,requiredLevel,isCustom,picklistValues,mappingSuggested,refForms,refViews,refChartVisualizations,refReports,refDashboards,refWorkflows,refFormulas,refPlugins,refPcfControls,refRelationships,refRibbon,sfObjectName,sfFieldDisplayName,sfFieldApiName,sfSuggestedObjectName,sfSuggestedFieldDisplayName,sfSuggestedFieldApiName
azt_allocatedlicenseid,Allocated License,primarykey,systemrequired,False,,,0,10,0,0,0,0,0,0,0,0,0,,,,,,
azt_allocatedtoid,Allocated To,lookup,required,True,,,2,4,0,0,0,1,0,2,0,1,0,,,,,,
azt_allocationtype,Allocation Type,picklist,required,True,"327630000: Software, 327630001: Print",,2,3,0,0,0,0,0,2,0,0,0,,,,,,
azt_companionid,Companion,lookup,none,True,,,1,1,0,0,0,0,0,0,0,1,0,,,,,,
azt_customerid,Purchasing Customer,lookup,recommended,True,,,2,10,0,0,0,1,0,5,0,1,0,,,,,,
azt_expirationdate,End Date,datetime,recommended,True,,,1,12,0,0,0,0,0,2,0,0,0,,,,,,
azt_isbn,ISBN,nvarchar,none,True,,,1,0,0,0,0,0,0,1,0,0,0,,,,,,
azt_licensestatus,License Status,picklist,none,True,,,1,8,0,0,0,2,0,2,0,0,0,,,,,,
azt_licensetermmonths,License Term (Months),int,none,True,,,1,0,0,0,0,1,0,22,0,0,0,,,,,,
azt_licensetype,License Type,picklist,none,True,,,1,0,0,0,0,1,0,25,0,0,0,,,,,,
azt_name,Name,nvarchar,required,True,,,3,16,0,0,0,9,0,18,0,0,0,,,,,,
azt_numberoflicenses,# Licenses,int,recommended,True,,,2,9,0,0,0,0,0,3,0,0,0,,,,,,
azt_printpurchaseid,Print Purchase,lookup,none,True,,,1,0,0,0,0,0,0,1,0,1,0,,,,,,
azt_recordownerid,Record Owner,lookup,none,True,,,1,0,0,0,0,37,0,9,0,1,0,,,,,,
azt_softwarelicenseid,Software License,lookup,required,True,,,1,9,0,0,0,2,0,6,0,1,0,,,,,,
azt_softwareproductid,Software Product,lookup,none,True,,,1,11,0,0,0,1,0,2,0,1,0,,,,,,
azt_softwareversionnumber,Version #,picklist,none,True,,,1,5,0,0,0,1,0,0,0,0,0,,,,,,
azt_softwareversiontype,Version Type,picklist,none,True,,,1,4,0,0,0,1,0,0,0,0,0,,,,,,
azt_startdate,Start Date,datetime,none,True,,,1,7,0,0,0,2,0,2,0,0,0,,,,,,
createdby,Created By,lookup,none,False,,,0,0,0,0,0,25,0,0,0,1,0,,,,,,
createdon,Created On,datetime,none,False,,,1,2,0,0,0,7,0,10,0,0,0,,,,,,
createdonbehalfby,Created By (Delegate),lookup,none,False,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,
importsequencenumber,Import Sequence Number,int,none,False,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,
modifiedby,Modified By,lookup,none,False,,,0,0,0,0,0,2,0,0,0,1,0,,,,,,
modifiedon,Modified On,datetime,none,False,,,0,0,0,0,0,0,0,4,0,0,0,,,,,,
modifiedonbehalfby,Modified By (Delegate),lookup,none,False,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,
overriddencreatedon,Record Created On,datetime,none,False,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,
ownerid,Owner,owner,systemrequired,False,,,3,1,0,0,0,24,0,22,0,1,0,,,,,,
owningbusinessunit,Owning Business Unit,lookup,none,False,,,0,0,0,0,0,0,0,0,0,1,0,,,,,,
owningteam,Owning Team,lookup,none,False,,,0,0,0,0,0,1,0,1,0,1,0,,,,,,
owninguser,Owning User,lookup,none,False,,,0,0,0,0,0,0,0,1,0,1,0,,,,,,
statecode,Status,state,systemrequired,False,,,0,8,0,0,0,10,0,20,0,0,0,,,,,,
statuscode,Status Reason,status,none,False,,,1,2,0,0,0,5,0,6,0,0,0,,,,,,
timezoneruleversionnumber,Time Zone Rule Version Number,int,none,False,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,
utcconversiontimezonecode,UTC Conversion Time Zone Code,int,none,False,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,
