fieldName,displayName,dataType,requiredLevel,isCustom,picklistValues,mappingSuggested,refForms,refViews,refChartVisualizations,refReports,refDashboards,refWorkflows,refFormulas,refPlugins,refPcfControls,refRelationships,refRibbon,sfObjectName,sfFieldDisplayName,sfFieldApiName,sfSuggestedObjectName,sfSuggestedFieldDisplayName,sfSuggestedFieldApiName
azt_regionalteam,Regional Team?,bit,none,True,"1: Yes, 0: No",true,1,0,0,0,0,0,0,0,0,0,0,,,,,,
azt_stateabbreviation,State Abbreviation,nvarchar,none,True,,true,1,5,0,0,0,0,0,1,0,0,0,,,,,,
businessunitid,Business Unit,lookup,required,False,,true,0,5,0,0,0,0,0,8,0,0,0,,,,,,
createdon,Created On,datetime,none,False,,true,0,0,0,0,0,0,0,10,0,0,0,,,,,,
delegatedauthorizationid,Delegated authorization,lookup,none,False,,true,0,0,0,0,0,0,0,0,0,1,0,,,,,,
description,Description,ntext,none,False,,true,0,0,0,0,0,0,0,7,0,0,0,,,,,,
emailaddress,Email,nvarchar,none,False,,true,1,0,0,0,0,0,0,0,0,0,0,,,,,,
issastokenset,,bit,none,False,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
modifiedon,Modified On,datetime,none,False,,true,0,0,0,0,0,0,0,4,0,0,0,,,,,,
name,Team Name,nvarchar,required,False,,true,0,8,0,0,0,1,0,23,0,0,0,,,,,,
queueid,Default Queue,lookup,none,False,,true,0,0,0,0,0,0,0,2,0,0,0,,,,,,
regardingobjectid,Regarding Object Id,lookup,none,False,,true,0,0,0,0,0,0,0,8,0,0,0,,,,,,
teamid,Team,uniqueidentifier,required,False,,true,0,4,0,0,0,1,0,3,0,0,0,,,,,,
teamtype,Team Type,picklist,required,False,,true,0,4,0,0,0,0,0,3,0,0,0,,,,,,
transactioncurrencyid,Currency,lookup,none,False,,true,0,0,0,0,0,0,0,8,0,0,0,,,,,,
