fieldName,displayName,dataType,requiredLevel,isCustom,lastUpdate,picklistValues,mappingSuggested,refForms,refViews,refChartVisualizations,refReports,refDashboards,refWorkflows,refFormulas,refPlugins,refPcfControls,refRelationships,refRibbon,sfObjectName,sfFieldDisplayName,sfFieldApiName,sfSuggestedObjectName,sfSuggestedFieldDisplayName,sfSuggestedFieldApiName
azt_duedate,Due Date,datetime,none,True,2026-03-20 21:42:40,,true,1,3,0,0,0,0,0,1,0,0,0,,,,,,
createdon,Created On,datetime,none,False,Skipped (createdon),,true,0,0,0,0,0,0,0,10,0,0,0,,,,,,
enteredon,Entered Queue,datetime,none,False,2026-03-20 21:42:40,,true,0,6,0,0,0,0,0,0,0,0,0,,,,,,
modifiedon,Modified On,datetime,none,False,Skipped (modifiedon),,true,0,0,0,0,0,0,0,4,0,0,0,,,,,,
msdyn_liveworkstreamid,Live workstream,lookup,none,True,Never,,false,0,0,0,0,0,0,0,0,0,1,0,,,,,,
objectid,Object,lookup,required,False,2026-03-20 21:42:40,,true,0,3,0,0,0,0,0,4,0,0,0,,,,,,
objecttypecode,Type,picklist,none,False,2026-03-20 21:42:40,,true,0,3,0,0,0,0,0,1,0,0,0,,,,,,
ownerid,Owner,lookup,required,False,2026-03-20 21:42:40,,true,0,0,0,0,0,0,0,22,0,0,0,,,,,,
queueid,Queue,lookup,required,False,2026-03-20 21:42:40,,true,0,3,0,0,0,0,0,2,0,0,0,,,,,,
queueitemid,Queue Item,uniqueidentifier,required,False,2026-03-20 21:42:40,,true,0,3,0,0,0,0,0,1,0,0,0,,,,,,
state,Status (deprecated),int,none,False,Never,,false,0,0,0,0,0,0,0,0,1,0,0,,,,,,
statecode,Status,picklist,required,False,2026-03-20 21:42:40,,true,0,3,0,0,0,0,0,20,0,0,0,,,,,,
statuscode,Status Reason,picklist,required,False,2026-03-20 21:42:40,,true,0,0,0,0,0,0,0,6,0,0,0,,,,,,
title,Title,nvarchar,none,False,2026-03-20 21:42:40,,true,0,3,0,0,0,0,0,2,0,0,0,,,,,,
transactioncurrencyid,Currency,lookup,none,False,Never,,false,0,0,0,0,0,0,0,8,0,0,0,,,,,,
workerid,Worked By,lookup,none,False,Never,,false,0,3,0,0,0,0,0,0,0,0,0,,,,,,
