fieldName,displayName,dataType,requiredLevel,isCustom,lastUpdate,picklistValues,mappingSuggested,notes,refForms,refViews,refChartVisualizations,refReports,refDashboards,refWorkflows,refFormulas,refPlugins,refPcfControls,refRelationships,refRibbon,sfObjectName,sfFieldDisplayName,sfFieldApiName,sfSuggestedObjectName,sfSuggestedFieldDisplayName,sfSuggestedFieldApiName
!process_custom_attribute_url_,,,,False,,,false,,0,0,0,0,0,3,0,0,0,0,0,,,,,,
adx_resolution,,,,False,,,true,,1,0,0,0,0,1,0,0,0,0,0,,,,,,
adx_resolutiondate,,,,False,,,true,,1,0,0,0,0,1,0,1,0,0,0,,,,,,
azt_aztecproduct,Aztec Product,picklist,none,True,,"100000000: P6 - Testing Platform, 100000001: P12 - Learning Platform, 100000003: Legacy",false,,0,0,0,0,0,0,0,0,0,0,0,,,,,,
azt_customersupportstatus,Customer Support Status,bit,none,True,,"1: Active, 0: Expired",false,,0,0,0,0,0,0,0,0,0,0,0,,,,,,
azt_daysopen,Days Open,int,none,True,,,true,,1,1,0,0,0,0,1,0,0,0,0,,,,,,
azt_engagementid,Engagement,lookup,none,True,,,true,,1,0,0,0,0,4,0,4,0,1,0,,,,,,
azt_firstrecordownerassignment,First Record Owner Assignment,bit,none,True,,"0: No, 1: Yes",true,,1,0,0,0,0,2,0,0,0,0,0,,,,,,
azt_historicalowner,Historical Owner,nvarchar,none,True,,,true,,1,0,0,0,0,2,0,0,0,0,0,,,,,,
azt_recordownerid,Record Owner,lookup,none,True,,,true,,2,5,0,0,0,37,0,9,0,1,0,,,,,,
azt_resolvedbyid,Resolved By,lookup,none,True,,,true,,1,0,0,0,0,1,0,2,0,1,0,,,,,,
azt_responsibletechnicianid,Responsible Rep,lookup,none,True,,,true,,1,0,0,0,0,0,0,0,0,1,0,,,,,,
azt_utrackcase,U-Track Case#,nvarchar,none,True,,,true,,1,0,0,0,0,0,0,0,0,0,0,,,,,,
caseorigincode,Case Origin,picklist,none,False,,,true,,2,4,0,0,0,0,0,0,0,0,0,,,,,,
casetypecode,Case Type,picklist,none,False,,"3: Support - Request, 100000001: Academic, 100000000: Engineering, 327630000: Operational, 327630002: Companion Repair, 327630001: Support - Companion, 1: Support - Internal, 2: Support - Online, 100000004: Professional Development Support, 100000002: Feature Request, 100000003: Content Request",true,,1,2,0,0,0,2,0,0,0,0,0,,,,,,
contractdetailid,,,,False,,,false,,0,0,0,0,0,0,0,0,0,1,0,,,,,,
contractid,,,,False,,,false,,0,0,0,0,0,0,0,0,0,1,0,,,,,,
createdby,Created By,lookup,none,False,,,true,,1,4,4,0,0,6,0,0,0,1,0,,,,,,
createdbyexternalparty,,,,False,,,false,,0,0,0,0,0,0,0,0,0,1,0,,,,,,
