fieldName,displayName,dataType,requiredLevel,isCustom,lastUpdate,picklistValues,mappingSuggested,refForms,refViews,refChartVisualizations,refReports,refDashboards,refWorkflows,refFormulas,refPlugins,refPcfControls,refRelationships,refRibbon,sfObjectName,sfFieldDisplayName,sfFieldApiName,sfSuggestedObjectName,sfSuggestedFieldDisplayName,sfSuggestedFieldApiName
azt_name,Name,nvarchar,required,True,2019-07-23 14:18:06,,true,3,1,0,0,0,9,0,18,0,0,0,,,,,,
azt_orderid,Order,lookup,none,True,2019-07-23 14:18:06,,true,1,2,0,0,0,2,0,8,0,1,0,,,,,,
azt_orderlineid,Order Line,lookup,required,True,2019-07-23 14:18:06,,true,1,11,0,0,0,0,0,2,0,1,0,,,,,,
azt_quantity,QTY,int,recommended,True,2019-07-23 14:18:06,,true,1,5,0,0,0,0,0,1,0,0,0,,,,,,
azt_shipmentid,Shipment,primarykey,systemrequired,False,2019-07-23 14:18:06,,true,0,8,0,0,0,0,0,0,0,0,0,,,,,,
azt_shippingdate,Shipping Date,datetime,none,True,2019-07-23 14:18:06,,true,2,6,0,0,0,0,0,0,0,0,0,,,,,,
azt_trackingnumber,Tracking Number,nvarchar,none,True,2019-07-23 14:18:06,,true,2,8,0,0,0,1,0,4,0,0,0,,,,,,
createdby,Created By,lookup,none,False,2019-07-23 14:18:06,,true,0,0,0,0,0,25,0,0,0,1,0,,,,,,
createdon,Created On,datetime,none,False,Skipped (createdon),,true,1,14,0,0,0,7,0,10,0,0,0,,,,,,
createdonbehalfby,Created By (Delegate),lookup,none,False,Never,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
importsequencenumber,Import Sequence Number,int,none,False,Never,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
modifiedby,Modified By,lookup,none,False,2019-07-23 14:18:06,,true,0,0,0,0,0,2,0,0,0,1,0,,,,,,
modifiedon,Modified On,datetime,none,False,Skipped (modifiedon),,true,0,0,0,0,0,0,0,4,0,0,0,,,,,,
modifiedonbehalfby,Modified By (Delegate),lookup,none,False,Never,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
overriddencreatedon,Record Created On,datetime,none,False,Never,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
ownerid,Owner,owner,systemrequired,False,2019-07-23 14:18:06,,true,3,2,0,0,0,24,0,22,0,1,0,,,,,,
owningbusinessunit,Owning Business Unit,lookup,none,False,2019-07-23 14:18:06,,true,0,0,0,0,0,0,0,0,0,1,0,,,,,,
owningteam,Owning Team,lookup,none,False,Never,,true,0,0,0,0,0,1,0,1,0,1,0,,,,,,
owninguser,Owning User,lookup,none,False,2019-07-23 14:18:06,,true,0,0,0,0,0,0,0,1,0,1,0,,,,,,
statecode,Status,state,systemrequired,False,2019-07-23 14:18:06,,true,0,6,0,0,0,10,0,20,0,0,0,,,,,,
statuscode,Status Reason,status,none,False,2019-07-23 14:18:06,,true,3,7,0,0,0,5,0,6,0,0,0,,,,,,
timezoneruleversionnumber,Time Zone Rule Version Number,int,none,False,2019-07-23 14:18:06,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
utcconversiontimezonecode,UTC Conversion Time Zone Code,int,none,False,Never,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
