fieldName,displayName,dataType,requiredLevel,isCustom,lastUpdate,picklistValues,mappingSuggested,refForms,refViews,refChartVisualizations,refReports,refDashboards,refWorkflows,refFormulas,refPlugins,refPcfControls,refRelationships,refRibbon,sfObjectName,sfFieldDisplayName,sfFieldApiName,sfSuggestedObjectName,sfSuggestedFieldDisplayName,sfSuggestedFieldApiName
activityid,,,,False,,,true,0,14,0,0,0,0,0,7,0,0,0,,,,,,
activitytypecode,,,,False,,,true,0,21,1,0,0,0,0,2,0,0,0,,,,,,
actualend,,,,False,,,true,0,2,0,0,0,0,0,0,0,0,0,,,,,,
community,,,,False,,,false,0,5,0,0,0,0,0,0,0,0,0,,,,,,
createdby,Created By,lookup,none,False,,,true,0,1,0,0,0,0,0,0,0,0,0,,,,,,
createdon,Created On,datetime,none,False,,,true,0,2,0,0,0,0,0,10,0,0,0,,,,,,
descriptionblobid,,,,False,,,true,0,0,0,0,0,0,0,0,0,1,0,,,,,,
isregularactivity,,,,False,,,true,0,5,0,0,0,0,0,0,0,0,0,,,,,,
modifiedby,Modified By,lookup,none,False,,,true,0,4,0,0,0,0,0,0,0,0,0,,,,,,
modifiedon,Modified On,datetime,none,False,,,true,0,12,1,0,0,0,0,4,0,0,0,,,,,,
prioritycode,,,,False,,,true,0,15,0,0,0,0,0,0,0,0,0,,,,,,
regardingobjectid,Regarding,lookup,none,False,,,true,0,14,0,0,0,0,0,8,0,30,0,,,,,,
scheduledend,,,,False,,,true,0,26,0,0,0,0,0,2,0,0,0,,,,,,
scheduledstart,,,,False,,,true,0,5,0,0,0,0,0,0,0,0,0,,,,,,
