fieldName,displayName,dataType,requiredLevel,isCustom,lastUpdate,picklistValues,mappingSuggested,refForms,refViews,refChartVisualizations,refReports,refDashboards,refWorkflows,refFormulas,refPlugins,refPcfControls,refRelationships,refRibbon,sfObjectName,sfFieldDisplayName,sfFieldApiName,sfSuggestedObjectName,sfSuggestedFieldDisplayName,sfSuggestedFieldApiName
azt_addressline1,Address Line 1,nvarchar,none,True,2024-02-13 06:04:55,,true,1,1,0,0,0,0,0,0,0,0,0,,,,,,
azt_city,City,nvarchar,none,True,2024-02-13 06:04:55,,true,2,1,0,0,0,0,0,0,0,0,0,,,,,,
azt_country,Country,nvarchar,none,True,2024-02-13 06:04:55,,true,1,1,0,0,0,0,0,0,0,0,0,,,,,,
azt_emailaddress1,Email Address 1,nvarchar,none,True,2024-02-13 06:04:55,,true,1,1,0,0,0,0,0,0,0,0,0,,,,,,
azt_emailaddress2,Email Address 2,nvarchar,none,True,2024-02-13 06:04:54,,true,1,1,0,0,0,0,0,0,0,0,0,,,,,,
azt_firstname,First Name,nvarchar,none,True,2024-02-28 07:23:11,,true,1,1,0,0,0,0,0,1,0,0,0,,,,,,
azt_importaccountid,Import Account,primarykey,systemrequired,False,2024-02-28 07:23:14,,true,0,7,0,0,0,0,0,0,0,0,0,,,,,,
azt_lastname,Last Name,nvarchar,none,True,2024-02-13 06:04:55,,true,1,1,0,0,0,0,0,1,0,0,0,,,,,,
azt_name,Name,nvarchar,required,True,2024-02-28 07:23:14,,true,4,12,0,0,0,9,0,18,0,0,0,,,,,,
azt_stateorprovince,State or Province,nvarchar,none,True,2024-02-13 06:04:55,,true,2,1,0,0,0,0,0,0,0,0,0,,,,,,
azt_telephone,Telephone,nvarchar,none,True,2024-02-28 07:23:12,,true,1,1,0,0,0,0,0,0,0,0,0,,,,,,
azt_zip,Zip,nvarchar,none,True,2024-02-13 06:04:55,,true,1,1,0,0,0,0,0,0,0,0,0,,,,,,
createdby,Created By,lookup,none,False,2024-02-28 07:23:14,,true,0,0,0,0,0,25,0,0,0,1,0,,,,,,
createdon,Created On,datetime,none,False,Skipped (createdon),,true,1,7,0,0,0,7,0,10,0,0,0,,,,,,
createdonbehalfby,Created By (Delegate),lookup,none,False,Never,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
importsequencenumber,Import Sequence Number,int,none,False,2024-02-28 07:23:14,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
modifiedby,Modified By,lookup,none,False,2024-02-28 07:23:14,,true,0,0,0,0,0,2,0,0,0,1,0,,,,,,
modifiedon,Modified On,datetime,none,False,Skipped (modifiedon),,true,0,0,0,0,0,0,0,4,0,0,0,,,,,,
modifiedonbehalfby,Modified By (Delegate),lookup,none,False,Never,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
organizationid,Organization Id,lookup,none,False,2024-02-28 07:23:14,,true,0,0,0,0,0,0,0,0,0,1,0,,,,,,
overriddencreatedon,Record Created On,datetime,none,False,Never,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
statecode,Status,state,systemrequired,False,2024-02-28 07:23:14,,true,0,6,0,0,0,10,0,20,0,0,0,,,,,,
statuscode,Status Reason,status,none,False,2024-02-28 07:23:14,,true,1,0,0,0,0,5,0,6,0,0,0,,,,,,
timezoneruleversionnumber,Time Zone Rule Version Number,int,none,False,Never,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
utcconversiontimezonecode,UTC Conversion Time Zone Code,int,none,False,Never,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
