fieldName,displayName,dataType,requiredLevel,isCustom,picklistValues,mappingSuggested,sfObjectName,sfFieldDisplayName,sfFieldApiName,sfSuggestedObjectName,sfSuggestedFieldDisplayName,sfSuggestedFieldApiName
azt_autonumberid,Autonumber,primarykey,systemrequired,False,,,,,,,,
azt_currentnumber,Current Number,int,required,True,,,,,,,,
azt_fieldtoautonumber,Field to Autonumber,nvarchar,required,True,,,,,,,,
azt_name,Autonumbered Entity,nvarchar,required,True,,,,,,,,
azt_prefix,Prefix,nvarchar,recommended,True,,,,,,,,
azt_prefixhasseparator,Prefix Has Separator?,bit,none,True,"1: Yes, 0: No",,,,,,,
azt_prefixseparator,Prefix Separator,nvarchar,none,True,,,,,,,,
azt_prefixseparatorisspace,Prefix Separator Is Space?,bit,none,True,"1: Yes, 0: No",,,,,,,
azt_suffix,Suffix,nvarchar,none,True,,,,,,,,
azt_suffixhasseparator,Suffix Has Separator?,bit,none,True,"1: Yes, 0: No",,,,,,,
azt_suffixseparator,Suffix Separator,nvarchar,none,True,,,,,,,,
azt_suffixseparatorisspace,Suffix Separator Is Space?,bit,none,True,"1: Yes, 0: No",,,,,,,
createdby,Created By,lookup,none,False,,,,,,,,
createdon,Created On,datetime,none,False,,,,,,,,
createdonbehalfby,Created By (Delegate),lookup,none,False,,,,,,,,
importsequencenumber,Import Sequence Number,int,none,False,,,,,,,,
modifiedby,Modified By,lookup,none,False,,,,,,,,
modifiedon,Modified On,datetime,none,False,,,,,,,,
modifiedonbehalfby,Modified By (Delegate),lookup,none,False,,,,,,,,
organizationid,Organization Id,lookup,none,False,,,,,,,,
overriddencreatedon,Record Created On,datetime,none,False,,,,,,,,
statecode,Status,state,systemrequired,False,,,,,,,,
statuscode,Status Reason,status,none,False,,,,,,,,
timezoneruleversionnumber,Time Zone Rule Version Number,int,none,False,,,,,,,,
utcconversiontimezonecode,UTC Conversion Time Zone Code,int,none,False,,,,,,,,
